"seqnames","start","end","width","strand","V4","V5","V6","V7","V8","V9","V10","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME"
"chr1",4835056,4835823,768,"*","ZF27_neurog2_peak_1",120,".",9.90162,16.4713,12.0919,654,"Promoter (1-2kb)",1,4836905,4842827,5923,1,"18777","ENSMUST00000141278.1",-1082,"ENSMUSG00000025903","Lypla1","lysophospholipase 1"
"chr1",9648947,9649434,488,"*","ZF27_neurog2_peak_2",811,".",36.0702,85.9047,81.1573,177,"Distal Intergenic",1,9601018,9631175,30158,2,"72481","ENSMUST00000153239.7",-17772,NA,"2610203C22Rik","RIKEN cDNA 2610203C22 gene"
"chr1",20500300,20500633,334,"*","ZF27_neurog2_peak_3",16,".",4.24355,5.30939,1.68841,242,"Intron (ENSMUST00000088448.11/241035, intron 35 of 66)",1,20374722,20409448,34727,2,"241035","ENSMUST00000132647.1",-90852,"ENSMUSG00000043760","Pkhd1","polycystic kidney and hepatic disease 1"
"chr1",20743929,20744213,285,"*","ZF27_neurog2_peak_4",38,".",5.65807,7.82968,3.87359,49,"Distal Intergenic",1,20730905,20734496,3592,1,"16171","ENSMUST00000027061.4",13024,"ENSMUSG00000025929","Il17a","interleukin 17A"
"chr1",23556565,23557031,467,"*","ZF27_neurog2_peak_5",63,".",7.07258,10.5539,6.39365,258,"Distal Intergenic",1,23574587,23596664,22078,1,"105243890","ENSMUST00000191140.1",-17556,"ENSMUSG00000099503","Gm28822","predicted gene 28822"
"chr1",24089513,24089872,360,"*","ZF27_neurog2_peak_6",50,".",6.36532,9.16908,5.09929,248,"Promoter (2-3kb)",1,24011093,24086526,75434,2,"68187","ENSMUST00000188712.6",-2987,"ENSMUSG00000026153","Fam135a","family with sequence similarity 135, member A"
"chr1",24611638,24616082,4445,"*","ZF27_neurog2_peak_7",303,".",17.6815,34.9408,30.3225,3401,"Exon (ENSMUST00000187714.1/ENSMUST00000187714.1, exon 1 of 1)",1,24263994,24587472,323479,2,"12823","ENSMUST00000115244.8",-24166,"ENSMUSG00000026141","Col19a1","collagen, type XIX, alpha 1"
"chr1",34372241,34372522,282,"*","ZF27_neurog2_peak_8",27,".",4.95081,6.54091,2.73004,144,"Distal Intergenic",1,34433121,34433199,79,2,"100628580","ENSMUST00000175111.1",60677,"ENSMUSG00000092852","Mir5103","microRNA 5103"
"chr1",34384264,34384635,372,"*","ZF27_neurog2_peak_9",38,".",5.65807,7.82968,3.87359,142,"Distal Intergenic",1,34433121,34433199,79,2,"100628580","ENSMUST00000175111.1",48564,"ENSMUSG00000092852","Mir5103","microRNA 5103"
"chr1",35081860,35082209,350,"*","ZF27_neurog2_peak_10",27,".",4.95081,6.54091,2.73004,37,"Distal Intergenic",1,34851837,34863475,11639,1,"226971","ENSMUST00000152654.2",230023,"ENSMUSG00000026123","Plekhb2","pleckstrin homology domain containing, family B (evectins) member 2"
"chr1",43098434,43098729,296,"*","ZF27_neurog2_peak_11",63,".",7.07258,10.5539,6.39365,123,"Promoter (<=1kb)",1,43047200,43098622,51423,2,"73122","ENSMUST00000095014.7",0,"ENSMUSG00000070939","Tgfbrap1","transforming growth factor, beta receptor associated protein 1"
"chr1",43777633,43778759,1127,"*","ZF27_neurog2_peak_12",50,".",6.36532,9.16908,5.09929,791,"Intron (ENSMUST00000126008.7/67883, intron 7 of 14)",1,43730602,43742578,11977,1,"78896","ENSMUST00000027217.8",47031,"ENSMUSG00000026051","Ecrg4","ECRG4 augurin precursor"
"chr1",51650527,51650825,299,"*","ZF27_neurog2_peak_13",91,".",8.4871,13.4432,9.14962,187,"Distal Intergenic",1,51509505,51596718,87214,2,"100045066","ENSMUST00000189410.1",-53809,"ENSMUSG00000099413","Gm17767","predicted gene, 17767"
"chr1",54821112,54821546,435,"*","ZF27_neurog2_peak_14",27,".",4.95081,6.54091,2.73004,97,"Intron (ENSMUST00000179030.7/329154, intron 2 of 27)",1,54762368,54813443,51076,2,"329154","ENSMUST00000178905.1",-7669,"ENSMUSG00000052331","Ankrd44","ankyrin repeat domain 44"
"chr1",66073335,66073642,308,"*","ZF27_neurog2_peak_15",50,".",6.36532,9.16908,5.09929,168,"Distal Intergenic",1,66175273,66380617,205345,1,"17756","ENSMUST00000156636.8",-101631,"ENSMUSG00000015222","Map2","microtubule-associated protein 2"
"chr1",67572727,67572991,265,"*","ZF27_neurog2_peak_16",27,".",4.95081,6.54091,2.73004,112,"Distal Intergenic",1,67123026,67231259,108234,1,"227231","ENSMUST00000027144.7",449701,"ENSMUSG00000025991","Cps1","carbamoyl-phosphate synthetase 1"
"chr1",73824552,73824929,378,"*","ZF27_neurog2_peak_17",38,".",5.65807,7.82968,3.87359,255,"Intron (ENSMUST00000189514.1/109198, intron 6 of 8)",1,73855477,73855575,99,2,"102465179","ENSMUST00000183826.1",30646,"ENSMUSG00000098504","Mir6351","microRNA 6351"
"chr1",73833072,73833558,487,"*","ZF27_neurog2_peak_18",27,".",4.95081,6.54091,2.73004,377,"Intron (ENSMUST00000189514.1/109198, intron 6 of 8)",1,73855477,73855575,99,2,"102465179","ENSMUST00000183826.1",22017,"ENSMUSG00000098504","Mir6351","microRNA 6351"
"chr1",74797673,74797931,259,"*","ZF27_neurog2_peak_19",16,".",4.24355,5.30939,1.68841,0,"Intron (ENSMUST00000006718.14/22409, intron 2 of 3)",1,74793363,74803495,10133,1,"22409","ENSMUST00000187238.1",4310,"ENSMUSG00000026167","Wnt10a","wingless-type MMTV integration site family, member 10A"
"chr1",77070288,77070698,411,"*","ZF27_neurog2_peak_20",27,".",4.95081,6.54091,2.73004,202,"Distal Intergenic",1,77373613,77377607,3995,2,"13838","ENSMUST00000187346.1",306909,"ENSMUSG00000026235","Epha4","Eph receptor A4"
"chr1",78075179,78075600,422,"*","ZF27_neurog2_peak_21",27,".",4.95081,6.54091,2.73004,5,"Distal Intergenic",1,78101267,78196838,95572,2,"18505","ENSMUST00000004994.15",121238,"ENSMUSG00000004872","Pax3","paired box 3"
"chr1",82816791,82817235,445,"*","ZF27_neurog2_peak_22",16,".",4.24355,5.30939,1.68841,67,"Distal Intergenic",1,82839483,82901182,61700,1,"15463","ENSMUST00000189220.6",-22248,"ENSMUSG00000026159","Agfg1","ArfGAP with FG repeats 1"
"chr1",84963168,84963717,550,"*","ZF27_neurog2_peak_23",38,".",5.65807,7.82968,3.87359,272,"Exon (ENSMUST00000097671.1/ENSMUST00000097671.1, exon 1 of 1)",1,84905898,84935134,29237,2,"71781","ENSMUST00000027422.6",-28034,"ENSMUSG00000026220","Slc16a14","solute carrier family 16 (monocarboxylic acid transporters), member 14"
"chr1",84964131,84964389,259,"*","ZF27_neurog2_peak_24",16,".",4.24355,5.30939,1.68841,57,"Exon (ENSMUST00000097671.1/ENSMUST00000097671.1, exon 1 of 1)",1,84905898,84935134,29237,2,"71781","ENSMUST00000027422.6",-28997,"ENSMUSG00000026220","Slc16a14","solute carrier family 16 (monocarboxylic acid transporters), member 14"
"chr1",85006705,85007061,357,"*","ZF27_neurog2_peak_25",16,".",4.24355,5.30939,1.68841,227,"Intron (ENSMUST00000159114.1/ENSMUST00000159114.1, intron 2 of 2)",1,84905898,84935134,29237,2,"71781","ENSMUST00000027422.6",-71571,"ENSMUSG00000026220","Slc16a14","solute carrier family 16 (monocarboxylic acid transporters), member 14"
"chr1",85009160,85009663,504,"*","ZF27_neurog2_peak_26",50,".",6.36532,9.16908,5.09929,36,"Intron (ENSMUST00000159114.1/ENSMUST00000159114.1, intron 2 of 2)",1,84905898,84935134,29237,2,"71781","ENSMUST00000027422.6",-74026,"ENSMUSG00000026220","Slc16a14","solute carrier family 16 (monocarboxylic acid transporters), member 14"
"chr1",85011596,85011916,321,"*","ZF27_neurog2_peak_27",38,".",5.65807,7.82968,3.87359,97,"Intron (ENSMUST00000159114.1/ENSMUST00000159114.1, intron 2 of 2)",1,84905898,84935134,29237,2,"71781","ENSMUST00000027422.6",-76462,"ENSMUSG00000026220","Slc16a14","solute carrier family 16 (monocarboxylic acid transporters), member 14"
"chr1",85031717,85032046,330,"*","ZF27_neurog2_peak_28",16,".",4.24355,5.30939,1.68841,23,"Intron (ENSMUST00000159114.1/ENSMUST00000159114.1, intron 2 of 2)",1,85083069,85109449,26381,2,"381287","ENSMUST00000161724.7",77403,"ENSMUSG00000089844","Sp140l1","Sp140 nuclear body protein like 1"
"chr1",85075175,85075609,435,"*","ZF27_neurog2_peak_29",16,".",4.24355,5.30939,1.68841,173,"Intron (ENSMUST00000159114.1/ENSMUST00000159114.1, intron 2 of 2)",1,85083069,85109449,26381,2,"381287","ENSMUST00000161724.7",33840,"ENSMUSG00000089844","Sp140l1","Sp140 nuclear body protein like 1"
"chr1",85080842,85081278,437,"*","ZF27_neurog2_peak_30",38,".",5.65807,7.82968,3.87359,395,"Intron (ENSMUST00000159114.1/ENSMUST00000159114.1, intron 2 of 2)",1,85083069,85109449,26381,2,"381287","ENSMUST00000161724.7",28171,"ENSMUSG00000089844","Sp140l1","Sp140 nuclear body protein like 1"
"chr1",85081713,85082101,389,"*","ZF27_neurog2_peak_31",63,".",7.07258,10.5539,6.39365,76,"Intron (ENSMUST00000159114.1/ENSMUST00000159114.1, intron 2 of 2)",1,85083069,85109449,26381,2,"381287","ENSMUST00000161724.7",27348,"ENSMUSG00000089844","Sp140l1","Sp140 nuclear body protein like 1"
