"seqnames","start","end","width","strand","V4.name","V5.score","V6.strand","V7.signalValue","V8.pValue","V9.qValue","V10.peak","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME"
"chr1",5019277,5019799,523,"*","ZF11_Nfiabx_peak_2",127,".",8.5689,16.4338,12.7248,493,"Promoter (<=1kb)",1,4909576,5019539,109964,2,"58175","ENSMUST00000002533.14",0,"ENSMUSG00000002459","Rgs20","regulator of G-protein signaling 20"
"chr1",5020421,5021372,952,"*","ZF11_Nfiabx_peak_3",174,".",10.2827,21.3444,17.4888,253,"Promoter (<=1kb)",1,4909576,5019539,109964,2,"58175","ENSMUST00000002533.14",-882,"ENSMUSG00000002459","Rgs20","regulator of G-protein signaling 20"
"chr1",5022605,5023888,1284,"*","ZF11_Nfiabx_peak_4",292,".",14.1387,33.3703,29.2935,734,"Intron (ENSMUST00000118000.7/58175, intron 1 of 5)",1,4909576,5019539,109964,2,"58175","ENSMUST00000002533.14",-3066,"ENSMUSG00000002459","Rgs20","regulator of G-protein signaling 20"
"chr1",7088589,7089132,544,"*","ZF11_Nfiabx_peak_5",138,".",8.99734,17.6322,13.8819,222,"Promoter (<=1kb)",1,7088920,7173628,84709,1,"319263","ENSMUST00000061280.16",0,"ENSMUSG00000051285","Pcmtd1","protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1"
"chr1",7397680,7398339,660,"*","ZF11_Nfiabx_peak_6",150,".",9.42579,18.8507,15.0624,198,"Exon (ENSMUST00000181554.1/ENSMUST00000181554.1, exon 1 of 3)",1,7160557,7172659,12103,1,"319263","ENSMUST00000183204.1",237123,"ENSMUSG00000051285","Pcmtd1","protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1"
"chr1",9545501,9546399,899,"*","ZF11_Nfiabx_peak_7",44,".",5.14134,7.71111,4.48386,1061,"Promoter (<=1kb)",1,9545408,9547455,2048,1,"59014","ENSMUST00000072079.8",93,"ENSMUSG00000061024","Rrs1","ribosome biogenesis regulator 1"
"chr1",9630097,9630747,651,"*","ZF11_Nfiabx_peak_8",225,".",11.9965,26.5385,22.5691,251,"Promoter (<=1kb)",1,9560832,9631092,70261,2,"72481","ENSMUST00000115480.7",345,NA,"2610203C22Rik","RIKEN cDNA 2610203C22 gene"
"chr1",10990894,10991354,461,"*","ZF11_Nfiabx_peak_9",162,".",9.85423,20.0883,16.2653,212,"Promoter (2-3kb)",1,10993465,11303681,310217,1,"109294","ENSMUST00000027056.11",-2111,"ENSMUSG00000048960","Prex2","phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2"
"chr1",13372295,13373141,847,"*","ZF11_Nfiabx_peak_11",320,".",14.9956,36.1965,32.0834,498,"Promoter (<=1kb)",1,13139105,13372439,233335,2,"17978","ENSMUST00000081713.10",0,"ENSMUSG00000005886","Ncoa2","nuclear receptor coactivator 2"
"chr1",14108449,14109191,743,"*","ZF11_Nfiabx_peak_12",115,".",8.14045,15.2565,11.5908,434,"Distal Intergenic",1,14207926,14231492,23567,2,"14048","ENSMUST00000189526.1",122301,"ENSMUSG00000025932","Eya1","EYA transcriptional coactivator and phosphatase 1"
"chr1",14292226,14292749,524,"*","ZF11_Nfiabx_peak_13",115,".",8.14045,15.2565,11.5908,211,"Intron (ENSMUST00000027066.12/14048, intron 3 of 17)",1,14170643,14304570,133928,2,"14048","ENSMUST00000190337.6",11821,"ENSMUSG00000025932","Eya1","EYA transcriptional coactivator and phosphatase 1"
"chr1",18551205,18551556,352,"*","ZF11_Nfiabx_peak_16",36,".",4.71289,6.75304,3.61141,301,"Distal Intergenic",1,18250980,18265138,14159,2,"77673","ENSMUST00000088463.1",-286067,"ENSMUSG00000067773","Defb41","defensin beta 41"
"chr1",24611539,24616183,4645,"*","ZF11_Nfiabx_peak_21",26667,".",462.292,2671.47,2666.73,2168,"Exon (ENSMUST00000187714.1/ENSMUST00000187714.1, exon 1 of 1)",1,24263994,24587472,323479,2,"12823","ENSMUST00000115244.8",-24067,"ENSMUSG00000026141","Col19a1","collagen, type XIX, alpha 1"
"chr1",30873623,30873899,277,"*","ZF11_Nfiabx_peak_25",63,".",5.99823,9.72728,6.34853,119,"Promoter (<=1kb)",1,30813571,30873695,60125,2,"213109","ENSMUST00000186105.6",0,"ENSMUSG00000048874","Phf3","PHD finger protein 3"
"chr1",30949910,30950226,317,"*","ZF11_Nfiabx_peak_26",83,".",6.85512,11.8621,8.35364,160,"Promoter (<=1kb)",1,30940302,30949770,9469,2,"19243","ENSMUST00000233506.1",-140,"ENSMUSG00000026064","Ptp4a1","protein tyrosine phosphatase 4a1"
